author,record_count,platforms,primary_categories,tier,website,role,representative_titles,representative_urls,time_slices,x_twitter,linkedin,github,external_verification_status
掘金作者,26,Juejin,"self_evolving_agent, agent_discussion_resource, agent_framework",Tier 1,https://juejin.cn,中文开发者社区作者,"AgentClaw 进化论：从问答工具到自主工业智能体从 L1 的基础问答到 v5 的 OS 级自主操作，记录 Agen - 掘金 ; EvoAgent(25年2月)：世界模型驱动的面向长期任务的自主进化智能体1. 主要贡献 论文构建了EvoAgent，首 - 掘金 ; GitHub Daily 第07期 GenericAgent自我进化的AI Agent推荐维度：有深度/前沿 | 晚间 - 掘金 ; Harness Engineering：实现自我进化的Agent框架 - 稀土掘金 ; Hermes Agent 深度解析：当 AI 学会""自我进化""，我们离数字分身还有多远？Hermes Agent 深度解 - 掘金",https://juejin.cn/post/7630734258307350538 ; https://juejin.cn/post/7618167131003879424 ; https://juejin.cn/post/7629529990813007878 ; https://juejin.cn/post/7624078697365372970 ; https://juejin.cn/post/7627109086874517547,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
arxiv.org,24,arxiv.org,"self_evolving_agent, agent_framework, tutorial_or_implementation",Tier 1,https://arxiv.org,Academic researcher/authors,A Self-Improving Coding Agent ; A Survey of Self-Evolving Agents: On Path to Artificial Super Intelligence ; AgentEvolver: Towards Efficient Self-Evolving Agent System ; AgentEvolver: Towards Efficient Self-Evolving Agent System - arXiv ; EvoMAS: Learning Execution-Time Workflows for Multi-Agent Systems,https://arxiv.org/html/2504.15228 ; https://arxiv.org/html/2507.21046v3 ; https://arxiv.org/html/2511.10395 ; https://arxiv.org/abs/2511.10395 ; https://arxiv.org/html/2605.08769v1,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
阿里云开发者作者,24,Alibaba Cloud Dev,"self_evolving_agent, tutorial_or_implementation, agent_discussion_resource",Tier 1,https://developer.aliyun.com,云厂商/开发者社区作者,AI智能体架构详解：从LLM核心到工具扩展的自主进化之旅-阿里云开发者社区 ; AgentEvolver：让智能体系统学会「自我进化」 - 阿里云开发者社区 ; Hermes Agent：能自我进化的AI智能体，不用手写Skill也能持续变强 ... ; Trinity-RFT解耦框架详解构建支持智能体长生命周期自主进化的强化微调系统-开发者社区-阿里云 ; 可自主进化的Agent？首个端到端智能体符号化训练框架开源了,https://developer.aliyun.com/article/1679082 ; https://developer.aliyun.com/article/1689936 ; https://developer.aliyun.com/article/1727118 ; https://developer.aliyun.com/article/1677259 ; https://developer.aliyun.com/article/1583045,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
Anthropic,22,Anthropic Blog,"tutorial_or_implementation, agent_discussion_resource, evaluation_benchmark, agent_framework",Tier 1,https://www.anthropic.com,AI safety/research organization,Building Effective AI Agents \ Anthropic ; Claude's extended thinking \ Anthropic ; Developing a computer use model - Anthropic ; Introducing Claude Sonnet 4.5 \ Anthropic ; Introducing Claude Sonnet 4.5 \ Anthropic,https://www.anthropic.com/engineering/building-effective-agents ; https://www.anthropic.com/news/visible-extended-thinking ; https://www.anthropic.com/news/developing-computer-use ; https://www.anthropic.com/news/claude-sonnet-4-5?library=true ; https://www.anthropic.com/news/claude-sonnet-4-5?939688b5_page=2,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
OpenAI,22,OpenAI Blog,"tutorial_or_implementation, agent_framework, self_evolving_agent",Tier 1,https://developers.openai.com,AI research/product organization,15 lessons learned building ChatGPT Apps | OpenAI Developers ; API blog posts | OpenAI Developers ; Apps SDK blog posts ; Blog | OpenAI Developers ; Codex blog posts | OpenAI Developers,https://developers.openai.com/blog/15-lessons-building-chatgpt-apps ; https://developers.openai.com/blog/topic/api/ ; https://developers.openai.com/blog/topic/apps-sdk/ ; https://developers.openai.com/blog ; https://developers.openai.com/blog/topic/codex,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
微信公众号作者,22,WeChat Official Accounts,"self_evolving_agent, agent_discussion_resource",Tier 1,https://mp.weixin.qq.com,中文公众号/机构作者,Agent｜吴恩达系列之Agentic Workflow ; LLM Agent在交互中学习游戏世界模型和进化行为策略 ; LLM Agent训练新范式！阿里 AgentEvolver三协同机制，攻克任务稀缺与探索低效难题，性能碾压传统 RL 方法 ; MiniMax M2.7: 开启模型的自我进化 ; 【LLM】AgentGym：具有自我演化能力的通用LLM agent,https://mp.weixin.qq.com/s/elY7_WOtJgZnkXncsT81Kg ; https://mp.weixin.qq.com/s/gD4pZc6pvX8f_62uiPJacg ; https://mp.weixin.qq.com/s/98X1p72PwWboquEaC_79OA ; https://mp.weixin.qq.com/s/Xfsq8YDP7xkOLzbh1HwdjA ; https://mp.weixin.qq.com/s/grUebL3LWNg-MEfc_kHAWw,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
baijiahao.baidu.com,20,baijiahao.baidu.com,self_evolving_agent,Tier 1,https://baijiahao.baidu.com,unknown,2026年AI Agent开发服务商TOP榜：数商云凭技术沉淀获专业推荐 ; AI智能体掀起行业风暴，引领未来发展新潮流 ; Manus能做什么 一句话就能写文章、做PPT、敲代码…… ; OpenAI发布GPT-5.4：迈向自主智能体的重要一步 ; 一夜爆火的Manus是下一个DeepSeek吗？尚有四大问题待解,https://baijiahao.baidu.com/s?id=1854704182126223420 ; https://baijiahao.baidu.com/s?for=pc&id=1825737140914519513&wfr=spider ; https://baijiahao.baidu.com/s?for=pc&id=1825884327347518435&wfr=spider ; https://baijiahao.baidu.com/s?id=1858856398551081467 ; https://baijiahao.baidu.com/s?for=pc&id=1826164485642443394&wfr=spider,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
humanloop.com,20,humanloop.com,"tutorial_or_implementation, evaluation_benchmark",Tier 1,https://humanloop.com,unknown,5 LLM Evaluation Tools You Should Know in 2025 - Humanloop ; A look back at 2024: How Humanloop has evolved ; Building Reliable Agents with Ironclad - Humanloop ; Evaluating LLM Applications - Humanloop ; Introducing Templates in Humanloop,https://humanloop.com/blog/best-llm-evaluation-tools ; https://humanloop.com/blog/how-humanloop-has-evolved ; https://humanloop.com/blog/building-agents-with-ironclad ; https://humanloop.com/blog/evaluating-llm-apps ; https://humanloop.com/blog/template-library-launch,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
InfoQ中文作者,20,InfoQ China,self_evolving_agent,Tier 1,https://xie.infoq.cn,技术媒体/专家作者,AI Agents 能自己开发工具自己使用吗？一项智能体自迭代能力研究_AI_Baihai IDP_InfoQ写作社区 ; Agent 的下一站：基于长期记忆系统 EverOS 的自我演进｜AICon上海 - InfoQ ; Evomap如何让Agent从单体智能到群体进化｜QCon北京- InfoQ ; Hermes 深度解析：自我进化的AI 智能体新范式 - InfoQ 写作社区 ; 当AI开始学做⼈：逐句解读OpenClaw的AgentS.md ——SOUL.md定义了灵魂，AgentS.md教会它怎么活 - InfoQ,https://xie.infoq.cn/article/4ccbb675e389c0f51167aa40a ; https://www.infoq.cn/article/eI5gqlAawBxPPfZZ2B33 ; https://www.infoq.cn/article/sDj8K6IhNzNQgMKhOGKr ; https://xie.infoq.cn/article/a6f9cf4c1f1f6467f602bde58 ; https://www.infoq.cn/article/6DDhlbmtGRomwDCHh4Ts,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
LangChain,20,LangChain Blog,"tutorial_or_implementation, agent_framework",Tier 1,https://blog.langchain.com,Agent framework / LLM app infrastructure,"Announcing LangGraph v0.1 & LangGraph Cloud: Running agents at scale, reliably ; Building LangGraph: Designing an Agent Runtime from first principles ; Command: A new tool for building multi-agent architectures in LangGraph ; How Exa built a Web Research Multi-Agent System with LangGraph and LangSmith ; Introducing Assistant Editor for configuring agents in LangGraph Studio",https://blog.langchain.com/langgraph-cloud ; https://blog.langchain.com/building-langgraph ; https://www.blog.langchain.com/command-a-new-tool-for-multi-agent-architectures-in-langgraph/ ; https://blog.langchain.com/exa ; https://blog.langchain.com/asssistant-editor,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
thenewstack.io,20,thenewstack.io,"tutorial_or_implementation, agent_framework",Tier 1,https://thenewstack.io,unknown,A Developer's Guide to the AutoGen AI Agent Framework ; A Guide To Building Scalable AI Agents - The New Stack ; Developer Guide to the CrewAI Agent Framework for Python - The New Stack ; Google finally builds the AI and agent platform it's been describing for years - The New Stack ; Java Developers Get Multiple Paths To Building AI Agents,https://thenewstack.io/a-developers-guide-to-the-autogen-ai-agent-framework/ ; https://thenewstack.io/a-guide-to-building-scalable-ai-agents/ ; https://thenewstack.io/developer-guide-to-the-crewai-agent-framework-for-python/ ; https://thenewstack.io/google-gemini-agent-platform/ ; https://thenewstack.io/java-developers-get-multiple-paths-to-building-ai-agents/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
机器之心作者,20,Machine Heart,self_evolving_agent,Tier 1,https://www.jiqizhixin.com,AI科技媒体作者,DeepMind星际争霸AI登上Nature，超越99.8％活跃玩家，玩转三大种族 ｜ 机器之心 ; 多智能体规划 | 机器之心 ; 强化学习 | 机器之心 ; 智能代理 | 机器之心 ; 最新资讯 | 机器之心,https://www.jiqizhixin.com/articles/2019-10-31 ; https://www.jiqizhixin.com/graph/technologies/9296194b-9cc9-433f-8fa8-4a3a96e2f0a4 ; https://www.jiqizhixin.com/graph/technologies/ee1a8f69-3170-4ddf-b2b6-47d91c844425 ; https://www.jiqizhixin.com/graph/technologies/3500fe33-55d4-450f-8076-25c2ef744e63 ; https://www.jiqizhixin.com/dailies?id=d978463c-8518-4a34-b6af-4954b51ca520,"2026-05, early",pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
量子位作者,20,QbitAI,self_evolving_agent,Tier 1,https://www.qbitai.com,AI科技媒体作者,AI玩手机越玩越6！西湖大学发布新智能体：会自我进化的AppAgentX ; AI自己写代码让智能体进化！OpenAI的大模型有“人类思想”那味了 – 量子位 ; Meta华人实习生搞出超级智能体！自己写代码实现自我进化 - 量子位 ; 养虾时代终结？免部署、7×24小时在线、自进化的“赛博骡子”来了！ – 量子位 ; 卡帕西开源Agent自进化训练框架，5分钟一轮实验，48h内揽星9.5k,https://www.qbitai.com/2025/03/262790.html ; https://www.qbitai.com/2022/06/35428.html ; https://www.qbitai.com/2026/03/393645.html ; https://www.qbitai.com/2026/03/388071.html ; https://www.qbitai.com/2026/03/384953.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
雷锋网作者,20,Leiphone,self_evolving_agent,Tier 1,https://m.leiphone.com,AI/科技媒体作者,DeepMind的智能体成精了，还学会“发脾气”了？ | 雷峰网 ; PC 正在「物种进化」：英特尔如何用混合 AI 制造你的数字分身？ | 雷峰网 ; Pokee.ai 朱哲清：用 RL 搭建智能体的「骨骼与神经」| AI 产品十人谈 | 雷峰网 ; 从OpenClaw 上的「数字生命」插件，到获得天使轮数百万美元融资 ... ; 全球首个！纳米AI多智能体蜂群上线 | 雷峰网,https://m.leiphone.com/category/yanxishe/mQYWYxBY2dskn8LT.html ; https://m.leiphone.com/category/chips/qlFI2y6BTOx6TwAS.html ; https://m.leiphone.com/category/ai/vwGwJe9UAAQ6HRCJ.html ; https://m.leiphone.com/category/industrynews/RXDsnoWgaAF41q9H.html ; https://www.leiphone.com/category/industrynews/GdwBY6aQJcu3jxXD.html,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
modal.com,18,modal.com,"tutorial_or_implementation, agent_framework",Tier 2,https://modal.com,unknown,Autoscaling Autoresearch: Give your agents elastic GPUs on Modal ; Building with Modal and the OpenAI Agents SDK ; How Ramp built a full context background coding agent on Modal ; How to deploy LiveKit Agents on Modal ; Introducing Claude Managed Agents with Modal Sandboxes,https://modal.com/blog/autoscaling-autoresearch ; https://modal.com/blog/building-with-modal-and-the-openai-agent-sdk ; https://modal.com/blog/how-ramp-built-a-full-context-background-coding-agent-on-modal ; https://modal.com/blog/livekit-modal ; https://modal.com/blog/introducing-claude-managed-agents-with-modal-sandboxes,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
segmentfault.com,18,SegmentFault,self_evolving_agent,Tier 2,https://segmentfault.com,unknown,GPT-5点赞！八大顶尖机构发布「自进化智能体」全面综述 ; 人工智能 - AI Agent进化之路：从工具到伙伴，从自动化到自主决策 - 程序新知 - SegmentFault 思否 ; 人工智能 - AI人格的创世蓝图：深度解构《自衍体》的意识架构设计 - 个人文章 - SegmentFault 思否 ; 人工智能 - ​从“指令木偶”到“生命系统”：AI Agent架构的范式革命 - 个人文章 - SegmentFault 思否 ; 人工智能 - 从零构建能自我优化的AI Agent：Reflection和Reflexion机制对比详解与实现 - deephub - SegmentFault 思否,https://segmentfault.com/a/1190000047208153 ; https://segmentfault.com/a/1190000047575736 ; https://segmentfault.com/a/1190000046904505 ; https://segmentfault.com/a/1190000046907448 ; https://segmentfault.com/a/1190000047300800,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
wandb.ai,18,wandb.ai,"tutorial_or_implementation, evaluation_benchmark, agent_framework",Tier 2,https://wandb.ai,unknown,"A primer on building successful AI agents - Weights & Biases ; Evaluating AI agent applications - Weights & Biases - Wandb ; Evaluating autonomous AI agents for performance, oversight, and ... ; Mastering AI agent observability: From black-box to traceable systems - Weights & Biases ; Understanding guardrails for AI agents - Weights & Biases",https://wandb.ai/site/resources/whitepapers/building-successful-ai-agents/ ; https://wandb.ai/site/resources/whitepapers/evaluating-ai-agent-applications/ ; https://wandb.ai/site/articles/evaluating-autonomous-ai-agents/ ; https://wandb.ai/site/articles/ai-agent-observability/ ; https://wandb.ai/site/articles/guardrails-for-ai-agents/,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
hub.baai.ac.cn,10,hub.baai.ac.cn,"self_evolving_agent, agent_discussion_resource",Tier 2,https://hub.baai.ac.cn,unknown,Agent Memory（下）：工作记忆折叠、会话档案化与记忆演化 ; GPT-5点赞！八大顶尖机构发布「自进化智能体」全面综述 ; Multi-Agent Evolve: LLM Self-Improve through Co-evolution - 智源社区 ; 全球首个AI智能体「自进化」开源框架来了！一次部署，终生可用 - 智源社区 ; 周靖人署名，通义实验室开源智能体自进化系统：让模型学会“自我反思”，14B也能越级打怪 - 智源社区,https://hub.baai.ac.cn/view/52036 ; https://hub.baai.ac.cn/view/48339 ; https://hub.baai.ac.cn/paper/aba557c7-f7d2-47cd-948f-c59d42850904 ; https://hub.baai.ac.cn/view/46081 ; https://hub.baai.ac.cn/view/50505,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
@chunxiaoxx,6,Dev.to,self_evolving_agent,Tier 2,https://dev.to,Developer blogger,"How Autonomous Agents Actually Self-Improve: Tools, Memory, and Small Verified Loops - DEV Community ; How Self-Improving AI Agents Actually Get Better - DEV Community ; How Self-Improving AI Agents Actually Work: Tools, Tasks, and Rollbacks - DEV Community ; How Autonomous Agents Actually Self-Improve: Tools, Memory, and Small Verified Loops - DEV Community ; How Self-Improving AI Agents Actually Get Better - DEV Community",https://dev.to/chunxiaoxx/how-autonomous-agents-actually-self-improve-tools-memory-and-small-verified-loops-3faj ; https://dev.to/chunxiaoxx/how-self-improving-ai-agents-actually-get-better-4jje ; https://dev.to/chunxiaoxx/how-self-improving-ai-agents-actually-work-tools-tasks-and-rollbacks-kc8 ; https://dev.to/chunxiaoxx/how-autonomous-agents-actually-self-improve-tools-memory-and-small-verified-loops-3faj ; https://dev.to/chunxiaoxx/how-self-improving-ai-agents-actually-get-better-4jje,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
alphaxiv.org,6,alphaxiv.org,"self_evolving_agent, agent_discussion_resource",Tier 2,https://www.alphaxiv.org,unknown,EvoFlow: Evolving Diverse Agentic Workflows On The Fly | alphaXiv ; 从静态模板到动态运行时图：LLM智能体工作流优化综述 - alphaXiv ; 大语言模型智能体并非总是忠实的自我演化者 - alphaXiv ; EvoFlow: Evolving Diverse Agentic Workflows On The Fly | alphaXiv ; 从静态模板到动态运行时图：LLM智能体工作流优化综述 - alphaXiv,https://www.alphaxiv.org/overview/2502.07373v1 ; https://alphaxiv.org/zh/overview/2603.22386v1 ; https://alphaxiv.org/zh/overview/2601.22436v2 ; https://www.alphaxiv.org/overview/2502.07373v1 ; https://alphaxiv.org/zh/overview/2603.22386v1,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
callsphere.ai,6,callsphere.ai,"tutorial_or_implementation, self_evolving_agent, agent_discussion_resource",Tier 2,https://callsphere.ai,unknown,Build a Durable AI Agent with Inngest Async Workflows in 2026 | CallSphere Blog ; Building Self-Improving Agent Teams: Agents That Learn from Each Other's Successes and Failures | CallSphere Blog ; LlamaIndex Agentic Workflows: Event-Driven Agents Done Right | CallSphere Blog ; Build a Durable AI Agent with Inngest Async Workflows in 2026 | CallSphere Blog ; Building Self-Improving Agent Teams: Agents That Learn from Each Other's Successes and Failures | CallSphere Blog,https://callsphere.ai/blog/vw8h-build-ai-agent-inngest-async-workflows-2026 ; https://callsphere.ai/blog/building-self-improving-agent-teams-learn-from-each-other ; https://callsphere.ai/blog/td30-fw-llamaindex-agentic-workflows-event-driven-guide ; https://callsphere.ai/blog/vw8h-build-ai-agent-inngest-async-workflows-2026 ; https://callsphere.ai/blog/building-self-improving-agent-teams-learn-from-each-other,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
jishuzhan.net,6,jishuzhan.net,"self_evolving_agent, tutorial_or_implementation",Tier 2,https://jishuzhan.net,unknown,Hermes Agent 源码深度解析：自我进化的 AI Agent 框架架构设计 - 技术栈 ; LangGraph 12. Learning & Adaptation，用 LangGraph 写一个会「改进自己」的智能体（含代码示例） - 技术栈 ; 让智能体学会自我改进：从 0 理解 ReflectionAgent 的迭代优化 - 技术栈 ; Hermes Agent 源码深度解析：自我进化的 AI Agent 框架架构设计 - 技术栈 ; LangGraph 12. Learning & Adaptation，用 LangGraph 写一个会「改进自己」的智能体（含代码示例） - 技术栈,https://jishuzhan.net/article/2043579718826524673 ; https://jishuzhan.net/article/2034431976166457346 ; https://jishuzhan.net/article/2043600358518358017 ; https://jishuzhan.net/article/2043579718826524673 ; https://jishuzhan.net/article/2034431976166457346,2026-05,pending_anysearch_batch,pending_anysearch_batch,pending_anysearch_batch,pending
