rank,author,profile_type,primary_platform,mentions,impact_score,impact_tier,x_twitter,github,linkedin,expertise,confidence,anysearch_status
33,博客园作者,named author/source,CNBlogs,11,75.2,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/paras-madan-a9863716b_top-6-open-source-agent-repos-from-tech-twitter-activity-7442186194299502592-NnFH,"self_evolving_agent, agent_discussion_resource, evaluation_benchmark",high,anysearch_ok
34,GitHub:Baburnana,GitHub owner/repo maintainer,GitHub Blog/Docs,1,74.2,B,unknown,https://github.com/resources/articles/what-are-ai-agents,unknown,tutorial_or_implementation,low,anysearch_ok
35,GitHub:Stars1233,GitHub owner/repo maintainer,GitHub Blog/Docs,1,74.2,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/markrawlingssmith_a-github-repo-ai-agents-went-viral-this-activity-7437762331943702529-5mzH,tutorial_or_implementation,low,anysearch_ok
36,GitHub:Tencent,GitHub owner/repo maintainer,GitHub Blog/Docs,1,74.2,B,unknown,https://github.com/langchain-ai/social-media-agent,unknown,agent_discussion_resource,low,anysearch_ok
37,GitHub:yeasy,GitHub owner/repo maintainer,GitHub Blog/Docs,1,74.2,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/markrawlingssmith_a-github-repo-ai-agents-went-viral-this-activity-7437762331943702529-5mzH,tutorial_or_implementation,low,anysearch_ok
38,GitHub:yuzhu-cai,GitHub owner/repo maintainer,GitHub Blog/Docs,1,74.2,B,unknown,https://github.com/langchain-ai/social-media-agent,unknown,tutorial_or_implementation,low,anysearch_ok
39,medium.com,domain/source account,Medium/TDS,4,72.8,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/alexeyf_just-built-an-ai-agent-that-creates-twitter-activity-7350784375019499520-gZWv,"self_evolving_agent, tutorial_or_implementation",high,anysearch_ok
40,humanloop.com,domain/source account,humanloop.com,10,71.0,B,https://x.com/Humanloop,https://github.com/humanloop,https://www.linkedin.com/company/humanloop/,"tutorial_or_implementation, evaluation_benchmark",high,anysearch_ok
41,thenewstack.io,domain/source account,thenewstack.io,10,71.0,B,https://x.com/thenewstack,unknown,https://www.linkedin.com/company/the-new-stack/,"tutorial_or_implementation, agent_framework",high,anysearch_ok
42,wandb.ai,domain/source account,wandb.ai,9,70.8,B,https://x.com/weights_biases,https://github.com/wandb,https://www.linkedin.com/company/wandb/,"evaluation_benchmark, tutorial_or_implementation, agent_framework",high,anysearch_ok
43,towardsdatascience.com,domain/source account,Medium/TDS,4,70.8,B,unknown,https://github.com/langchain-ai/social-media-agent,unknown,self_evolving_agent,high,anysearch_ok
44,baijiahao.baidu.com,domain/source account,baijiahao.baidu.com,10,69.0,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/markrawlingssmith_a-github-repo-ai-agents-went-viral-this-activity-7437762331943702529-5mzH,self_evolving_agent,high,anysearch_ok
45,zhuanlan.zhihu.com,domain/source account,Zhihu,10,69.0,B,https://x.com/ZhihuFrontier?lang=en,https://github.com/zhihu,unknown,self_evolving_agent,high,anysearch_ok
46,modal.com,domain/source account,modal.com,9,68.8,B,https://x.com/modal_labs,https://github.com/modal-labs,https://www.linkedin.com/company/modal-labs/,"tutorial_or_implementation, agent_framework",high,anysearch_ok
47,evoailabs.medium.com,domain/source account,Medium/TDS,2,68.4,B,https://twitter.com/akshay_pachaar/status/1699762089106297033,https://github.com/langchain-ai/social-media-agent,unknown,"self_evolving_agent, tutorial_or_implementation",high,anysearch_ok
48,mp.weixin.qq.com,domain/source account,WeChat Official Accounts,7,67.4,B,unknown,https://github.com/jina-ai/reader/issues/1183,unknown,self_evolving_agent,high,anysearch_ok
49,segmentfault.com,domain/source account,SegmentFault,9,66.8,B,https://global.v2ex.com/member/segmentfault,https://github.com/hireshBrem/X-ai-agent,unknown,self_evolving_agent,high,anysearch_ok
50,@linz07m,individual author,Medium/TDS,2,66.4,B,unknown,https://github.com/langchain-ai/social-media-agent,https://www.linkedin.com/posts/markrawlingssmith_a-github-repo-ai-agents-went-viral-this-activity-7437762331943702529-5mzH,self_evolving_agent,high,anysearch_ok
