repo,url,stars,inferred_language,inferred_category,file_count_visible,key_files,content_timestamp,time_slice,file
agentmemoryworld/awesome-agent-memory,https://github.com/agentmemoryworld/awesome-agent-memory,148,Markdown,memory,4,Latest commit History22 Commits22 Commits; img; README.md; View all files,unknown,unknown,raw-github/agentmemoryworld_awesome-agent-memory.md
agentskills/agentskills,https://github.com/agentskills/agentskills,19,Markdown,memory,10,Latest commit History123 Commits123 Commits; .claude; docs; skills-ref; .gitignore; CONTRIBUTING.md; LICENSE; README.md; package.json; View all files,unknown,unknown,raw-github/agentskills_agentskills.md
agenttoolkit/altk-evolve,https://github.com/agenttoolkit/altk-evolve,85,Markdown,evolution,31,Latest commit History208 Commits208 Commits; .claude-plugin; .github; altk_evolve; demo; docs; examples/low_code; explorations/claudecode; platform-integrations; plugin-source; sandbox; scripts; tests; .env.example; .gitignore; .pre-commit-config.yaml; .python-version; .secrets.baseline; AGENTS.md; CHANGELOG.md,2026-05-21,2026-05,raw-github/agenttoolkit_altk-evolve.md
agi-edgerunners/llm-agents-papers,https://github.com/agi-edgerunners/llm-agents-papers,2,Unknown,research-agent,0,,unknown,unknown,raw-github/agi-edgerunners_llm-agents-papers.md
ai-boost/awesome-ai-for-science,https://github.com/ai-boost/awesome-ai-for-science,1,Markdown,education-list,8,Latest commit History243 Commits243 Commits; assets; .gitignore; .gitmessage; CONTRIBUTING.md; LICENSE; README.md; View all files,unknown,unknown,raw-github/ai-boost_awesome-ai-for-science.md
ai4co/awesome-fm4co,https://github.com/ai4co/awesome-fm4co,534,Markdown,education-list,5,Latest commit History174 Commits174 Commits; .gitignore; LICENSE; README.md; View all files,unknown,unknown,raw-github/ai4co_awesome-fm4co.md
aimagelab/mammoth,https://github.com/aimagelab/mammoth,812,Python,evaluation,25,Latest commit History502 Commits502 Commits; .github/workflows; backbone; datasets; docs; examples/notebooks; hub/model_cards; models; scripts; tests; utils; .gitignore; AGENTS.md; LICENSE; NOTICE.md; README.md; REPRODUCIBILITY.md; __init__.py; gem_license; main.py,unknown,unknown,raw-github/aimagelab_mammoth.md
aiming-lab/agent0,https://github.com/aiming-lab/agent0,1,Markdown,evolution,9,Latest commit History44 Commits44 Commits; Agent0-VL; Agent0; docs; figs; .gitignore; LICENSE; README.md; View all files,2026-05-21,2026-05,raw-github/aiming-lab_agent0.md
aiming-lab/atp,https://github.com/aiming-lab/atp,10,Markdown,safety,9,Latest commit History5 Commits5 Commits; data; llama-factory-config; media; src; .gitignore; LICENSE; README.md; View all files,unknown,unknown,raw-github/aiming-lab_atp.md
aiwaves-cn/agents,https://github.com/aiwaves-cn/agents,5,Python,evolution,11,"Latest commit History1,325 Commits1,325 Commits; assets; examples; src/agents; .env.example; .gitignore; LICENSE; README.md; requirements.txt; setup.py; View all files",2024-06-25,2024-Q2,raw-github/aiwaves-cn_agents.md
alberto-codes/gepa-adk,https://github.com/alberto-codes/gepa-adk,1,Markdown,prompt-optimization,33,Latest commit History208 Commits208 Commits; .claude; .codex/prompts; .cursor; .gemini/commands; .github; .specify; _bmad-output; _bmad; docs; examples; scripts; specs; src/gepa_adk; tests; .gitignore; .mcp.json; .pre-commit-config.yaml; .python-version; .release-please-manifest.json,2026-03-11,2026-03,raw-github/alberto-codes_gepa-adk.md
algorithmicsuperintelligence/openevolve,https://github.com/algorithmicsuperintelligence/openevolve,6,Python,evolution,23,Latest commit History816 Commits816 Commits; .github; configs; examples; openevolve; scripts; tests; .gitignore; .pre-commit-config.yaml; CLAUDE.md; CONTRIBUTING.md; Dockerfile; LICENSE; MANIFEST.in; Makefile; README.md; openevolve-architecture.png; openevolve-logo.png; openevolve-run.py; openevolve-visualizer.png,unknown,unknown,raw-github/algorithmicsuperintelligence_openevolve.md
allenai/swe-agent,https://github.com/allenai/swe-agent,0,Markdown,coding-agent,24,"Latest commit History2,152 Commits2,152 Commits; .cursor/rules; .devcontainer; .github; assets; config; docs; sweagent; tests; tools; trajectories; .env.example; .git-blame-ignore-revs; .gitignore; .pre-commit-config.yaml; CONTRIBUTING.md; LICENSE; README.md; SECURITY.md; codecov.yml",unknown,unknown,raw-github/allenai_swe-agent.md
amap-ml/skillclaw,https://github.com/amap-ml/skillclaw,1,Python,evolution,17,Latest commit History19 Commits19 Commits; .github/workflows; assets; evolve_server; scripts; skillclaw; tests; .gitignore; .pre-commit-config.yaml; LICENSE; README.md; client_env.example.sh; pyproject.toml; requirements-server.txt; requirements.txt; skillclaw.pdf; View all files,2026-05-21,2026-05,raw-github/amap-ml_skillclaw.md
angrysky56/reflective-agent-architecture,https://github.com/angrysky56/reflective-agent-architecture,5,Markdown,evaluation,38,Latest commit History165 Commits165 Commits; .CODEAGENCY; .github; .trunk; .vscode; benchmarks; docs; examples; experiments; formal_proofs; reports; results; scripts; src; tests; .env.example; .gitignore; DEVELOPMENT.md; LICENSE; RAA_AGENT.md,2025-12-10,2025-12,raw-github/angrysky56_reflective-agent-architecture.md
anthropics/anthropic-sdk-python,https://github.com/anthropics/anthropic-sdk-python,3,Markdown,framework,28,"Latest commit History1,111 Commits1,111 Commits; .devcontainer; .github; .inline-snapshot/external; .vscode; bin; examples; scripts; src/anthropic; tests; .gitignore; .python-version; .release-please-manifest.json; .stats.yml; Brewfile; CHANGELOG.md; CONTRIBUTING.md; LICENSE; README.md; SECURITY.md",2026-05-19,2026-05,raw-github/anthropics_anthropic-sdk-python.md
archishmansengupta/autovoiceevals,https://github.com/archishmansengupta/autovoiceevals,149,Python,evaluation,11,Latest commit History48 Commits48 Commits; autovoiceevals; examples; .env.example; .gitignore; LICENSE; README.md; config.yaml; main.py; requirements.txt; View all files,2026-05-21,2026-05,raw-github/archishmansengupta_autovoiceevals.md
argus-framework/argus-ai-debate,https://github.com/argus-framework/argus-ai-debate,5,Markdown,framework,25,Latest commit History524 Commits524 Commits; argus; argus_terminal; argus_viz; biosage_terminal; crux_viz; docs-website; tests; .gitignore; ARGUS_Parameter_Analysis.md; ARISTOTLE_Protocol_v4.txt; CODE_OF_CONDUCT.md; CONTRIBUTING.md; CRUX_Protocol_Specification.docx; LICENSE; MANIFEST.in; README.md; SECURITY.md; codebase_symbols.md; context.txt,unknown,unknown,raw-github/argus-framework_argus-ai-debate.md
arthurmgraf/graphmind,https://github.com/arthurmgraf/graphmind,1,Markdown,evaluation,29,Latest commit History15 Commits15 Commits; .claude/sdd/features; .github; config; diagrams/generated; docs; eval; k8s; migrations; scripts; src/graphmind; tests; .dockerignore; .env.example; .gitignore; .pre-commit-config.yaml; CONTRIBUTING.md; Dockerfile; LICENSE; Makefile,unknown,unknown,raw-github/arthurmgraf_graphmind.md
arunagirinathan-k/awesome-ai-agents-2026,https://github.com/arunagirinathan-k/awesome-ai-agents-2026,69,Markdown,education-list,17,Latest commit History226 Commits226 Commits; .github; environments; img; patterns; skills; tools/testing; workflows; .markdownlint.json; CHANGELOG.md; Code_of_conduct.md; Contributing.md; LICENSE; README.md; package-lock.json; package.json; View all files,unknown,unknown,raw-github/arunagirinathan-k_awesome-ai-agents-2026.md
arvid-pku/godel/agent,https://github.com/arvid-pku/godel/agent,182,Python,evolution,10,Latest commit History9 Commits9 Commits; datasets; figures; results; src; .gitignore; LICENSE; README.md; requirements.txt; View all files,2026-05-21,2026-05,raw-github/arvid-pku_godel_agent.md
ashish-kamboj/agentic-ai-workflows,https://github.com/ashish-kamboj/agentic-ai-workflows,0,Markdown,workflow-automation,5,Latest commit History26 Commits26 Commits; crewai; n8n; README.md; View all files,unknown,unknown,raw-github/ashish-kamboj_agentic-ai-workflows.md
asirwad/dspy-prompt-auto-optimizer,https://github.com/asirwad/dspy-prompt-auto-optimizer,1,Python,prompt-optimization,16,Latest commit History19 Commits19 Commits; artifacts; data; docker; scripts; src/dspy_optimizer; tests; .env.example; .gitignore; .python-version; LICENSE; README.md; main.py; pyproject.toml; uv.lock; View all files,unknown,unknown,raw-github/asirwad_dspy-prompt-auto-optimizer.md
autodrive-ecosystem/mrdt-marl,https://github.com/autodrive-ecosystem/mrdt-marl,7,Markdown,framework,9,Latest commit History49 Commits49 Commits; Agents; Figures; Results; Sim2Real; Training; LICENSE; README.md; View all files,unknown,unknown,raw-github/autodrive-ecosystem_mrdt-marl.md
autohandai/code-cli,https://github.com/autohandai/code-cli,110,TypeScript,evaluation,34,Latest commit History961 Commits961 Commits; .github; .vitest; assets; docs; examples; homebrew; prd; scripts; src; tests; types; .env.example; .gitignore; AGENTS.md; CODE_OF_CONDUCT.md; COMMERCIAL.md; CONTRIBUTING.md; LICENSE; README.md,2026-05-21,2026-05,raw-github/autohandai_code-cli.md
bansky-cl/graphrag-arxiv-daily-paper,https://github.com/bansky-cl/graphrag-arxiv-daily-paper,22,Markdown,memory,8,Latest commit History146 Commits146 Commits; .github/workflows; docs; imgs; .gitignore; README.md; daily_arxiv.py; View all files,2026-04-15,2026-04,raw-github/bansky-cl_graphrag-arxiv-daily-paper.md
bazilicum/graphltm,https://github.com/bazilicum/graphltm,4,Markdown,memory,10,Latest commit History2 Commits2 Commits; app; .env.example; CONTRIBUTING.md; Dockerfile; GraphLTM.png; LICENSE; README.md; requirements.txt; View all files,unknown,unknown,raw-github/bazilicum_graphltm.md
beeevita/evoprompt,https://github.com/beeevita/evoprompt,238,Python,prompt-optimization,22,Latest commit History22 Commits22 Commits; BBH; data; scripts; .gitattributes; .gitignore; LICENSE.txt; README.md; args.py; auth.yaml; dataset.py; evaluator.py; evoluter.py; evolution.py; get_result.py; infer.py; llm_client.py; metrics.py; requirements.txt; run.py,unknown,unknown,raw-github/beeevita_evoprompt.md
bennettschwartz/membrane,https://github.com/bennettschwartz/membrane,93,Markdown,memory,31,Latest commit History148 Commits148 Commits; .github; api; clients; cmd; docs; examples/agent-harness; pkg; src; static/img; tests; tools/eval; .assetsignore; .coderabbit.yaml; .env.example; .gitignore; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; Makefile,unknown,unknown,raw-github/bennettschwartz_membrane.md
bingreeky/memgen,https://github.com/bingreeky/memgen,378,Python,memory,14,Latest commit History3 Commits3 Commits; assets; common; configs; data; interactions; memgen; scripts; .gitignore; README.md; main.py; memgen.yml; requirements.txt; View all files,2026-05-21,2026-05,raw-github/bingreeky_memgen.md
bobxwu/learning-from-rewards-llm-papers,https://github.com/bobxwu/learning-from-rewards-llm-papers,71,Markdown,education-list,5,Latest commit History13 Commits13 Commits; img; LICENSE; README.md; View all files,unknown,unknown,raw-github/bobxwu_learning-from-rewards-llm-papers.md
brain-research/guided-evolutionary-strategies,https://github.com/brain-research/guided-evolutionary-strategies,273,Jupyter Notebook,evolution,10,Latest commit History20 Commits20 Commits; images; .gitignore; CONTRIBUTING.md; Guided_Evolutionary_Strategies_Demo.ipynb; Guided_Evolutionary_Strategies_Demo_Jax.ipynb; Guided_Evolutionary_Strategies_Demo_TensorFlow2.ipynb; LICENSE; README.md; View all files,unknown,unknown,raw-github/brain-research_guided-evolutionary-strategies.md
browser-use/browser-use,https://github.com/browser-use/browser-use,94,Markdown,workflow-automation,24,"Latest commit History9,247 Commits9,247 Commits; .github; bin; browser_use; docker; examples; skills; static; tests; .dockerignore; .env.example; .gitattributes; .gitignore; .pre-commit-config.yaml; .python-version; AGENTS.md; CLAUDE.md; CLOUD.md; Dockerfile; Dockerfile.fast",2026-05-19,2026-05,raw-github/browser-use_browser-use.md
browser-use/web-ui,https://github.com/browser-use/web-ui,16,Python,workflow-automation,18,Latest commit History450 Commits450 Commits; .github/workflows; .vscode; assets; src; tests; .dockerignore; .env.example; .gitignore; Dockerfile; LICENSE; README.md; SECURITY.md; docker-compose.yml; requirements.txt; supervisord.conf; webui.py; View all files,unknown,unknown,raw-github/browser-use_web-ui.md
bruno686/visplay,https://github.com/bruno686/visplay,57,Python,evolution,35,Latest commit History21 Commits21 Commits; .github; Evaluation; assets; evaluation; question_evaluate; question_generate; scripts_MIMO-VL-7B; scripts_Qwen-VL-3B; scripts_Qwen-VL-7B; train_examples; validation_examples; verl; vllm_service_init; .DS_Store; .gitattributes; .gitignore; .pre-commit-config.yaml; =10.1; Dockerfile,unknown,unknown,raw-github/bruno686_visplay.md
budecosystem/claudeevolve,https://github.com/budecosystem/claudeevolve,4,Markdown,evolution,14,Latest commit History44 Commits44 Commits; circle_packing; claude_evolve; docs; evolve_output; plugin; ramsey_R5_5; test_problem; yang_mills; .gitignore; LICENSE; README.md; install.sh; View all files,unknown,unknown,raw-github/budecosystem_claudeevolve.md
camel-ai/owl,https://github.com/camel-ai/owl,19,Markdown,framework,19,Latest commit History641 Commits641 Commits; .container; .github/workflows; assets; community_usecase; examples; licenses; owl; .gitignore; .pre-commit-config.yaml; CITATION.cff; README.md; README_ja.md; README_zh.md; community_challenges.md; pyproject.toml; requirements.txt; uv.lock; View all files,unknown,unknown,raw-github/camel-ai_owl.md
caution724/github-explorer-skill,https://github.com/caution724/github-explorer-skill,2,Markdown,coding-agent,7,Latest commit History18 Commits18 Commits; bluely; .gitignore; LICENSE; README.md; SKILL.md; View all files,unknown,unknown,raw-github/caution724_github-explorer-skill.md
ce0alex/skill-hunter,https://github.com/ce0alex/skill-hunter,22,Markdown,evaluation,8,Latest commit History52 Commits52 Commits; references; .gitignore; AGENTS.md; LICENSE; README.md; SKILL.md; View all files,2026-01-31,2026-01,raw-github/ce0alex_skill-hunter.md
cellium-project/cellium-agent,https://github.com/cellium-project/cellium-agent,41,Markdown,memory,25,Latest commit History227 Commits227 Commits; .github; app; builder; components; config; dll; html; memory; sandbox_root; tests; ui; workspace; .gitattributes; .gitignore; .nojekyll; INSTALL.md; LICENSE; README.md; README_EN.md,unknown,unknown,raw-github/cellium-project_cellium-agent.md
centaurioun/crewai,https://github.com/centaurioun/crewai,0,Python,framework,15,"Latest commit History2,083 Commits2,083 Commits; .github; docs; lib; .editorconfig; .env.test; .gitignore; .pre-commit-config.yaml; .python-version; LICENSE; README.md; conftest.py; pyproject.toml; uv.lock; View all files",unknown,unknown,raw-github/centaurioun_crewai.md
channinglua/prax-agent,https://github.com/channinglua/prax-agent,294,Markdown,evaluation,20,Latest commit History59 Commits59 Commits; .github/workflows; .prax; bin; docs; examples; src/prax; tests; .gitignore; .npmignore; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md; README.zh-CN.md; SECURITY.md; package.json; pyproject.toml; View all files,2026-05-21,2026-05,raw-github/channinglua_prax-agent.md
charlesq9/self-evolving-agents,https://github.com/charlesq9/self-evolving-agents,1,Markdown,evolution,5,Latest commit History20 Commits20 Commits; figures; LICENSE; README.md; View all files,2026-05-21,2026-05,raw-github/charlesq9_self-evolving-agents.md
chrisworsey55/atlas-gic,https://github.com/chrisworsey55/atlas-gic,1,Markdown,prompt-optimization,8,Latest commit History5 Commits5 Commits; architecture; prompts/examples; results; src; LICENSE; README.md; View all files,2026-05-21,2026-05,raw-github/chrisworsey55_atlas-gic.md
chuacheowhuan/gym-continuousdoubleauction,https://github.com/chuacheowhuan/gym-continuousdoubleauction,153,Python,coding-agent,15,Latest commit History429 Commits429 Commits; docker; gym_continuousDoubleAuction.egg-info; gym_continuousDoubleAuction; pic; .gitignore; .travis.yml; CITATION.cff; CODEOWNER; CONTRIBUTING.md; LICENSE; README.md; requirements.txt; setup.py; View all files,unknown,unknown,raw-github/chuacheowhuan_gym-continuousdoubleauction.md
circlemind-ai/fast-graphrag,https://github.com/circlemind-ai/fast-graphrag,3,Markdown,memory,18,Latest commit History249 Commits249 Commits; .github; .vscode; benchmarks; examples; fast_graphrag; tests; .gitignore; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md; banner.png; demo.gif; mock_data.txt; poetry.lock; pyproject.toml; View all files,unknown,unknown,raw-github/circlemind-ai_fast-graphrag.md
claire-labo/evotune,https://github.com/claire-labo/evotune,137,Python,coding-agent,10,Latest commit History8 Commits8 Commits; configs; data; installation; scripts; src; LICENSE; README.md; pyproject.toml; View all files,unknown,unknown,raw-github/claire-labo_evotune.md
clawland-ai/geneclaw,https://github.com/clawland-ai/geneclaw,36,Markdown,evolution,24,Latest commit History8 Commits8 Commits; .github; bridge; case; docs; geneclaw; nanobot; tests; workspace; .cursorrules; .dockerignore; .gitignore; CHANGELOG.md; COMMUNICATION.md; Dockerfile; LICENSE; README.md; SECURITY.md; core_agent_lines.sh; docker-compose.yml,unknown,unknown,raw-github/clawland-ai_geneclaw.md
clint-kristopher-morris/llm-guided-evolution,https://github.com/clint-kristopher-morris/llm-guided-evolution,19,Python,evolution,15,Latest commit History75 Commits75 Commits; .github/workflows; assets; sota/ExquisiteNetV2; src; templates; tests; .gitignore; README.md; change.txt; cleanup.sh; pyproject.toml; run.sh; run_improved.py; View all files,2024-07-08,2024-Q3,raw-github/clint-kristopher-morris_llm-guided-evolution.md
codexstar69/bug-hunter,https://github.com/codexstar69/bug-hunter,380,Markdown,evaluation,26,Latest commit History71 Commits71 Commits; .github; agents; bin; docs; evals; modes; prompts; schemas; scripts; skills; templates; test-fixture; .gitignore; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md; SECURITY.md,2026-03-12,2026-03,raw-github/codexstar69_bug-hunter.md
colab2/midca,https://github.com/colab2/midca,27,Markdown,coding-agent,14,Latest commit History591 Commits591 Commits; .github/workflows; docs; midca; .gitignore; CODE_OF_CONDUCT.md; CONTRIBUTING.md; HOW_TO_CONTRIBUTE.md; LICENSE; README.md; __init__.py; contributors.md; setup.py; View all files,unknown,unknown,raw-github/colab2_midca.md
crewaiinc/crewai,https://github.com/crewaiinc/crewai,51,Python,framework,15,"Latest commit History2,422 Commits2,422 Commits; .github; docs; lib; .editorconfig; .env.test; .gitignore; .pre-commit-config.yaml; .python-version; LICENSE; README.md; conftest.py; pyproject.toml; uv.lock; View all files",unknown,unknown,raw-github/crewaiinc_crewai.md
davidzwz/awesome-rag-reasoning,https://github.com/davidzwz/awesome-rag-reasoning,427,Markdown,memory,6,Latest commit History52 Commits52 Commits; Assets; .DS_Store; LICENSE; README.md; View all files,2025-07-17,2025-07,raw-github/davidzwz_awesome-rag-reasoning.md
deep-polyu/awesome-graphrag,https://github.com/deep-polyu/awesome-graphrag,2,Markdown,memory,5,Latest commit History175 Commits175 Commits; figs; LICENSE; README.md; View all files,2026-04-07,2026-04,raw-github/deep-polyu_awesome-graphrag.md
deepelementlab/clawcode,https://github.com/deepelementlab/clawcode,199,Python,coding-agent,26,Latest commit History139 Commits139 Commits; .claude; .claw; .clawcode; assets; clawcode; config; core; db; docs; llm; message; plugin; screens; session; tests; tui; .clawcode.json; .gitignore; LICENSE,2026-05-21,2026-05,raw-github/deepelementlab_clawcode.md
developzir/gepa-mcp,https://github.com/developzir/gepa-mcp,48,Python,prompt-optimization,13,Latest commit History10 Commits10 Commits; src/gepa_mcp; .gitignore; INSTALL_GUIDE.md; LICENSE; README.md; README_extended.md; install.sh; main.py; pyproject.toml; run_server.py; uv.lock; View all files,unknown,unknown,raw-github/developzir_gepa-mcp.md
dongxiangjue/awesome-llm-self-improvement,https://github.com/dongxiangjue/awesome-llm-self-improvement,106,Markdown,evolution,5,Latest commit History16 Commits16 Commits; LICENSE; README.md; fig5.png; View all files,2026-05-21,2026-05,raw-github/dongxiangjue_awesome-llm-self-improvement.md
dsifry/metaswarm,https://github.com/dsifry/metaswarm,272,Markdown,framework,40,Latest commit History113 Commits113 Commits; .agents/plugins; .claude-plugin; .claude/commands; .codex-plugin; .codex; .cursor-plugin; .github/workflows; .opencode; agents; bin; cli; commands; docs; guides; hooks; knowledge; lib; rubrics; scripts,2026-05-21,2026-05,raw-github/dsifry_metaswarm.md
ecnu-icalk/autoskill,https://github.com/ecnu-icalk/autoskill,424,Markdown,evolution,22,Latest commit History212 Commits212 Commits; AutoSkill4Doc; AutoSkill4OpenClaw; SkillBank; SkillEvo; autoskill; data; examples; imgs; skills/autoskill; tests; web; .dockerignore; .env.example; .gitignore; Dockerfile; README.md; README.zh-CN.md; STATUS.md; docker-compose.yml,2026-05-09,2026-05,raw-github/ecnu-icalk_autoskill.md
ecnu-icalk/ell-stulife,https://github.com/ecnu-icalk/ell-stulife,74,Markdown,memory,8,Latest commit History53 Commits53 Commits; Stulife; imgs; task_data; README.md; 漫画版本.pdf; 经验驱动终身学习-周杰-20251102-Final.pdf; View all files,2026-05-21,2026-05,raw-github/ecnu-icalk_ell-stulife.md
egmaminta/gepa-lite,https://github.com/egmaminta/gepa-lite,55,Python,prompt-optimization,11,Latest commit History2 Commits2 Commits; .gitignore; Dfeedback.json; Dpareto.json; GEPA.py; GEPA_cfg.yaml; LICENSE; README.md; demo.gif; requirements.txt; View all files,unknown,unknown,raw-github/egmaminta_gepa-lite.md
eliasecchig/gemini-cli-git,https://github.com/eliasecchig/gemini-cli-git,56,Markdown,memory,9,Latest commit History2 Commits2 Commits; .gemini; .github; memory; .gitignore; CONTRIBUTING.md; LICENSE; README.md; View all files,2026-05-21,2026-05,raw-github/eliasecchig_gemini-cli-git.md
emartin59/text-game-llm-improver,https://github.com/emartin59/text-game-llm-improver,3,Python,framework,9,Latest commit History9 Commits9 Commits; 500-game-challenge-run-output.txt; LICENSE; README.md; Sample-Output.txt; evolving_llms_through_text-based_self-play.pdf; game-model-showdown-1000-games.py; text-based-game-LLM-trainer.py; View all files,unknown,unknown,raw-github/emartin59_text-game-llm-improver.md
emson/elfmem,https://github.com/emson/elfmem,53,Markdown,memory,25,Latest commit History110 Commits110 Commits; .github; alembic; benchmarks; docs; examples; scripts; sim; site; src/elfmem; tests; .gitignore; .nojekyll; .python-version; CHANGELOG.md; CLAUDE.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; LICENSE; README.md,2026-05-21,2026-05,raw-github/emson_elfmem.md
enajx/es,https://github.com/enajx/es,7,Python,evolution,11,Latest commit History21 Commits21 Commits; .gitignore; evaluate_static.py; evolution_strategy_static.py; fitness_functions.py; policies.py; readme.md; requirements.txt; train_static.py; wrappers.py; View all files,unknown,unknown,raw-github/enajx_es.md
euphoria16/ui-genie,https://github.com/euphoria16/ui-genie,57,Markdown,evolution,6,Latest commit History13 Commits13 Commits; assets; src; .gitattributes; README.md; View all files,2026-05-21,2026-05,raw-github/euphoria16_ui-genie.md
evalops/dspy-0to1-guide,https://github.com/evalops/dspy-0to1-guide,215,Python,prompt-optimization,17,Latest commit History11 Commits11 Commits; .github/workflows; datasets/sample_data; docs; examples; scripts; src; tests; .env.example; .flake8; Dockerfile; LICENSE; Makefile; README.md; docker-compose.yml; pyproject.toml; View all files,unknown,unknown,raw-github/evalops_dspy-0to1-guide.md
evermind-ai/everos,https://github.com/evermind-ai/everos,5,Markdown,evaluation,12,Latest commit History653 Commits653 Commits; .github; benchmarks; methods; use-cases; .gitignore; AGENTS.md; CLAUDE.md; LICENSE; NOTICE; README.md; View all files,2025-02-01,2025-02,raw-github/evermind-ai_everos.md
evermind-ai/everos?tab=readme-ov-file,https://github.com/evermind-ai/everos?tab=readme-ov-file,5,Markdown,evaluation,12,Latest commit History653 Commits653 Commits; .github; benchmarks; methods; use-cases; .gitignore; AGENTS.md; CLAUDE.md; LICENSE; NOTICE; README.md; View all files,2025-02-01,2025-02,raw-github/evermind-ai_everos?tab=readme-ov-file.md
evoagentx/awesome-self-evolving-agents,https://github.com/evoagentx/awesome-self-evolving-agents,2,Markdown,evolution,5,Latest commit History70 Commits70 Commits; assets; LICENSE; README.md; View all files,2026-05-21,2026-05,raw-github/evoagentx_awesome-self-evolving-agents.md
evoagentx/evoagentx,https://github.com/evoagentx/evoagentx,3,Markdown,evolution,21,"Latest commit History1,105 Commits1,105 Commits; .github; Wonderful_workflow_corpus; assets; docs; evoagentx; examples; tests; .env.example; .gitignore; CONTRIBUTING.md; EvoAgentX_Weekly_Meeting.ics; LICENSE; README-zh-TW.md; README-zh.md; README.md; mkdocs.yml; pyproject.toml; pytest.ini; requirements.txt",2026-05-21,2026-05,raw-github/evoagentx_evoagentx.md
